"Date Added","Track Item",Retailer,"Retailer Item ID",TLD,UPC,Title,Manufacturer,Brand,"Client Product Group",Category,Subcategory,"Amazon Sub Category"
3/24/2018,"N - Low Sales Rank",amazon,B0195M3014,com,',"MILWAUKEE 2705-22 M18 Fuel 1/2 Inch Drill/Driver Kit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B019DULJKM,com,',"Original Ambrums AM-950D 220V rechargeable/electri",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B019DULKWE,com,',"Original Ambrums 220V Convenient Automatic Electri",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B019MKOPUE,com,',"Pro'sKit UPT-32007D Portable Electric Screwdriver ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B019MLIVBM,com,',"Pro'sKit UPT-32015D Electric Screwdriver Rechargea",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B019N0M0W8,com,',"RIDGID X4 18-Volt Lithium-Ion Cordless Drill and Impact Driver Combo Kit (2-Tool)",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B019N17BA8,com,',"RIDGID 18-Volt Lithium-Ion 1/2 in. Cordless Compact Drill/Driver Kit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B019O096UQ,com,',"0.16 to 131ft (40m) Laser Distance Meter, GoerTek ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B019R26MQC,com,',"Piranha FX Laser Package",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B019V8NGZC,com,',"AC Adapter DC Charger For SpeedHex FlipOut Recharg",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B019VNQ8Q6,com,',"Craftsman 19.2 Volt Drill Driver with 2 Lithium-ion Batteries 91347",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01A03250O,com,',"Ryobi ZRP214 ONE+ 18-Volt 1/2 in. Cordless Hammer ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01A9DQHCW,com,',"HONDA VersAttach Trimmer A",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01A9DSGCQ,com,',"Ryobi ZRHP54L 4-Volt Lithium-Ion Screwdriver Kit (",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01ASIS9BU,com,',"Kobalt 40-volt Max 12-in Straight Cordless String ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01AVSKLPY,com,',"PRECASTER Tio30 - Digital LCD 30m / 98ft Measure L",,,,,,
7/2/2018,"Needs Review - Kragle Third Party Keyword - CRAFTSMAN DRILL DRIVE",amazon,B01AW8QKEE,com,',"HOT 1/4"" Hex Shank Keyless Drill Chuck 0.5-8mm Power Tool Drills Accessories Screwdriver Impact Driver Adapter Adaptor",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01AY0IC7I,com,',"Automotive 3 piece Combo Kit.",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01AY0VQ44,com,',"Stabila 04490 Type FLS90 50' Square, Solid Lines Laser Kit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01AY0VQJO,com,',"Stabila 05600TR Type LAR250 OFF-ROAD Fully Loaded ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01AY90E84,com,',"Tccmebius TCC-8580 Non-contact Digital Dual Laser ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01AYGB90Y,com,',"1 Blade 8""-56t -- RENEGADE BLADE ""RAZOR"" / HYBRID ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01AZZA68K,com,',"1 Blade 9""-68t -- RENEGADE ""RAZOR"" / HYBRID -- COM",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01B00P242,com,',"1 Blade 10""-80t -- RENEGADE ""RAZOR"" / HYBRID -- CO",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01B00WUQK,com,',"2pk-10""-80t -- RENEGADE ""RAZOR"" / HYBRID -- COMBO ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01B23VQZG,com,',"1 Blade 10""-20t -- Renegade ""HAWK"" / HYBRID -- Bru",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01B2IK00S,com,',"2pk-9""-20t -- Renegade ""HAWK"" / HYBRID -- Brush Sp",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01B6CWRYC,com,',"Craftsman 100-pc Accessory Set Drill Bit Driver Sc",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01BCPIR24,com,',"Ryobi ZRHP44L 4-Volt Lithium-Ion Cordless Screwdri",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01BL71VDK,com,',"2pk--9""--COMBO PACK -- (1) 20 teeth HAWK & (1) 68 ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01BTZ8JAM,com,',"ONE+ 18-Volt Lithium-Ion Cordless Combo Kit (4-Tool)",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01BVEHTHU,com,',"DMiotech Laser Distance Measure 196ft 60m Mini Han",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01BVUC8TI,com,',"DMiotech Laser Distance Measure 131ft 40m Mini Han",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01BVUC9TC,com,',"DMiotechÂ® 196ft 60m Mini Handheld Digital Laser Di",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01CA4PRDI,com,',"Greenworks 14-Inch 40V Cordless String Trimmer, 2.",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01CA4PXPA,com,',"Greenworks 12-Inch 24V Cordless String Trimmer, 2.",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01CIN7Q8A,com,',"Leica Disto E7100i Laser Distance Measurer, 200-Fe",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01CJNTOES,com,',"Qooltek Mini Multifunctional LV-06 Laser Level wit",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01CQD1VTW,com,',"Black & Decker MTC220R 20V MAX Cordless Lithium-Io",,,,,,
7/2/2018,"Needs Review - Kragle Third Party Keyword - RIDGID DRILL DRIVER",amazon,B01CS108DM,com,',"Ridgid R86037 18 Volt 18V GEN5X Brushless Motor 3 speed Impact Driver Drill",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01CTMEBRE,com,',"HAMMERHEAD 4V Lithium Rechargeable Screwdriver with Patented Circuit Sensor and 9-Piece Bit Kit with Innovative Bit Grip",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01D0Y4ZLC,com,',"Focusable 650nm 100mW DC 2.8-5.2V Red Cross line d",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01D3263NE,com,',"Tacklife Advanced Laser Measure 196 Ft Digital Las",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01D9XQC1K,com,',"SINCON SL-441SP Super Power Brightness Multi Cross",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01DE65B5K,com,',"20v Max Drill/Driver",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01DKT91V6,com,',"Craftsman C3 19.2 Volt Drill (1/2"") and C3 19.2 Volt (1/4"") Impact Driver + CASE (Brand New, Bulk packing, does not include the charger or battery)",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01DMRGF06,com,',"Black & Decker LI4000 Lithium Power Screwdriver W/",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01DNWDNIM,com,',"COOCHEER Digital Laser Long Distance Meter, Handy ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01DNWDO8Q,com,',"COOCHEER Digital Laser Long Distance Meter, Handy ",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01DP2FNQ0,com,',"3x Dia. 20mm K9 Reflection Mirrors for 10600nm CO2",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01DWI6S3Y,com,',"Pink Revolver Shaped Electric Rechargeable Gun Scr",,,,,,
3/24/2018,"N - Low Sales Rank",amazon,B01DWJICKK,com,',"Silver Revolver Shaped Electric Rechargeable Gun S",,,,,,
